tt0114709,862,The Biggest Little Farm,John Chester,8,A,142 min,2018
tt0113497,8844,PokÃ©mon the Movie 2000,Kunihiko Yuyama,6.1,A,175 min,1999
tt0113228,15602,When Hitler Stole Pink Rabbit,Caroline Link,7,UA,152 min,2019
tt0114885,31357,Return from Witch Mountain,John Hough,5.7,A,202 min,1978
tt0113041,11862,Summer Magic,James Neilson,6.9,U,96 min,1963
tt0113277,949,Tall Tale,Jeremiah S. Chechik,5.9,U,201 min,1995
tt0114319,11860,The Powerpuff Girls Movie,Craig McCracken,6.5,A,154 min,2002
tt0112302,45325,Camp Hideout,Sean Olson,4.4,A,195 min,2023
tt0114576,9091,St Trinian's 2: The Legend of Fritton's Gold,Oliver Parker,5.3,UA,148 min,2009
tt0113189,710,The Wild Thornberrys,Cathy Malkasian,5.6,A,139 min,2002
tt0112346,9087,The Care Bears Movie,Arna Selznick,5.6,U,178 min,1985
tt0112896,12110,DuckTales the Movie: Treasure of the Lost Lamp,Bob Hathcock,6.8,UA,142 min,1990
tt0112453,21032,Noelle,Marc Lawrence,6.3,A,161 min,2019
tt0113987,10858,The Dirt Bike Kid,Hoite C. Caston,5.3,UA,179 min,1985
tt0112760,1408,A Family Affair,George B. Seitz,6.6,A,136 min,1937
tt0112641,524,Mune: Guardian of the Moon,Alexandre Heboyan,7.1,A,146 min,2014
tt0114388,4584,Shin Jigen! Crayon Shin-chan the Movie,Hitoshi Ã”ne,6.5,UA,124 min,2023
tt0113101,5,Dr. Dolittle 2,Steve Carr,4.7,A,133 min,2001
tt0112281,9273,Return to Never Land,Robin Budd,5.8,PG-13,160 min,2002
tt0113845,11517,Doraemon Nobita no Takarajima,Kazuaki Imai,6.6,A,132 min,2018
tt0113161,8012,Christmas on Cherry Lane,Gail Harvey,6.1,U,153 min,2023
tt0112722,1710,Diary of a Wimpy Kid,Gino Nichele,5.1,UA,169 min,2021
tt0112401,9691,Biggles: Adventures in Time,John Hough,5.6,A,130 min,1986
tt0114168,12665,Early Man,Nick Park,6.1,U,125 min,2018
tt0113627,451,The Confirmation,Bob Nelson,6.4,R,169 min,2016
tt0114057,16420,Tad: The Lost Explorer,Enrique Gato,5.9,A,189 min,2012
tt0114011,9263,Alaska,Fraser C. Heston,5.7,U,116 min,1996
tt0114117,17015,The Three Caballeros,Norman Ferguson,6.3,A,127 min,1944
tt0112682,902,Tom Sawyer,Don Taylor,6.4,A,118 min,1973
tt0115012,37557,FairyTale: A True Story,Charles Sturridge,6.5,UA,121 min,1997
tt0112792,9909,Pee-wee's Big Holiday,John Lee,6.1,,133 min,2016
tt0114746,63,Arthur and the Revenge of Maltazard,Luc Besson,5.2,U,207 min,2009
tt0114952,78802,Jug Jugg Jeeyo,Raj Mehta,6.1,PG,130 min,2022
tt0112431,9598,Shorts,Robert Rodriguez,4.7,A,122 min,2009
tt0112637,47018,The Incredible Mr. Limpet,Arthur Lubin,6.5,A,106 min,1964
tt0112818,687,Getting Even with Dad,Howard Deutch,4.9,UA,112 min,1994
tt0112286,139405,Batman,Lambert Hillyer,6.1,U,130 min,1943
tt0113442,33689,Lassie,Daniel Petrie,5.8,A,151 min,1994
tt0112697,9603,Extinct,David Silverman,5.5,R,150 min,2021
tt0112749,34615,The Peanut Butter Solution,Michael Rubbo,6,UA,155 min,1985
tt0114279,31174,The Muppet Christmas Carol,Brian Henson,7.8,R,119 min,1992
tt0112819,11443,Fireheart,Theodore Ty,6.2,A,106 min,2022
tt0114272,35196,The Princess Switch,Mike Rohl,6.1,A,110 min,2018
tt0113855,9312,Racing Stripes,Frederik Du Chau,5.2,U,88 min,2005
tt0114681,577,The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet,7,U,137 min,2013
tt0113347,11861,Bigfoot Family,JÃ©rÃ©mie Degruson,5.8,U,155 min,2020
tt0114369,807,Heidi,Alain Gsponer,7.4,U,89 min,2015
tt0114148,10530,Doctor Dolittle,Richard Fleischer,6.1,U,116 min,1967
tt0114916,8391,Think Like a Dog,Gil Junger,5.2,U,165 min,2020
tt0114814,629,The Jungle Book 2,Steve Trenbirth,5.3,A,109 min,2003
tt0109950,117164,The Diary of Anne Frank,George Stevens,7.4,U,102 min,1959
tt0113819,11448,Nine Lives,Barry Sonnenfeld,5.3,G,87 min,2016
tt0110299,49133,Mio in the Land of Faraway,Vladimir Grammatikov,6.3,G,87 min,1987
tt0112499,26441,Raksha Bandhan,Aanand L. Rai,5.4,A,126 min,2022
tt0113158,97406,Spirit Halloween,David Poag,4.6,,125 min,2022
tt0113541,124057,Lost & Found,Joseph Itaya,5.4,UA,147 min,2016
tt0113321,9089,Nightbooks,David Yarovesky,5.8,U,106 min,2021
tt0110877,11010,The Trouble with Angels,Ida Lupino,7.3,U,161 min,1966
tt0112714,99040,The Apple Dumpling Gang,Norman Tokar,6.4,U,117 min,1975
tt0113419,11359,Arthur Christmas,Sarah Smith,7.1,UA,181 min,2011
tt0116260,17182,Dedh Bigha Zameen,Pulkit,7,UA,149 min,2024
tt0113862,2054,The Red Turtle,Michael Dudok de Wit,7.5,U,105 min,2016
tt0116126,10607,Steven Universe: The Movie,Rebecca Sugar,7.7,A,165 min,2019
tt0118002,19760,Where Time Began,Juan Piquer SimÃ³n,4.8,UA,164 min,1977
tt0115683,9536,100% Wolf,Alexs Stadermann,5.6,UA,170 min,2020
tt0116839,11525,Everyone's Hero,Colin Brady,5.7,U,165 min,2006
tt0114753,40628,Cats Don't Dance,Mark Dindal,6.9,U,98 min,1997
tt0113149,4482,Tarzan,Reinhard Klooss,4.8,A,137 min,2013
tt0113118,10634,The Magician's Elephant,Wendy Rogers,6.6,A,101 min,2023
tt0116367,755,Stand by Me Doraemon 2,Ryuichi Yagi,7.5,UA,113 min,2020
tt0113010,11859,Nadanna Sambhavam,Vishnu Narayan,7.3,U,134 min,2024
tt0113537,28387,Life with Father,Michael Curtiz,7.1,A,229 min,1947
tt0113828,48750,I Believe,Juergen Peretzki,5.6,A,115 min,2017
tt0115644,20927,Spirit Untamed,Elaine Bogan,5.5,A,146 min,2021
tt0115676,36929,Godzilla vs. Mechagodzilla,Jun Fukuda,6.2,R,147 min,1974
tt0114367,9102,Hotel for Dogs,Thor Freudenthal,5.5,R,117 min,2009
tt0113973,124626,The Adventures of Rocky & Bullwinkle,Des McAnuff,4.3,U,122 min,2000
tt0112744,27526,Friendly Persuasion,William Wyler,7.3,,143 min,1956
tt0116731,9623,Gold Diggers: The Secret of Bear Mountain,Kevin James Dobson,6,A,95 min,1995
tt0112445,46785,Mysterious Island,Cy Endfield,6.7,U,116 min,1961
tt0114660,400,Lunana: A Yak in the Classroom,Pawo Choyning Dorji,7.5,A,88 min,2019
tt0112379,880,Judy Moody and the Not Bummer Summer,John Schultz,4.3,U,112 min,2011
tt0114039,146599,Kung Fu Yoga,Stanley Tong,5.2,Passed,110 min,2017
tt0113612,188588,Iron Will,Charles Haid,6.6,Passed,125 min,1994
tt0112365,8447,Trouble,Kevin Johnson,5.8,R,119 min,2019
tt0118158,10534,The Adventures of Huck Finn,Stephen Sommers,6.2,A,104 min,1993
tt0116151,17414,Babes in Toyland,Jack Donohue,6.1,UA,139 min,1961
tt0115697,13997,The Court Jester,Melvin Frank,7.8,U,160 min,1955
tt0113972,2086,The Secret of Roan Inish,John Sayles,7.4,R,115 min,1994
tt0113490,61548,Thunderstruck,John Whitesell,5.1,PG-13,123 min,2012
tt0117002,9095,Prom,Joe Nussbaum,5.4,R,131 min,2011
tt0114825,12158,Secret of the Wings,Bobs Gannaway,7,TV-14,132 min,2012
tt0115639,9283,The Santa Clause 2,Michael Lembeck,5.7,,112 min,2002
tt0115759,9208,A Kid in King Arthur's Court,Michael Gottlieb,4.7,A,153 min,1995
tt0113403,40154,The Journey of Natty Gann,Jeremy Kagan,7,UA,108 min,1985
tt0113247,406,Asterix and Obelix vs. Caesar,Claude Zidi,6,U,122 min,1999
tt0111173,45549,Follow That Bird,Ken Kwapis,6.7,UA,104 min,1985
tt0113283,63076,My Father and My Son,Ã‡agan Irmak,8.2,A,102 min,2005
tt0115907,11062,Hoodwinked Too! Hood vs. Evil,Mike Disa,4.7,UA,122 min,2011
tt0115734,13685,"Big Mommas: Like Father, Like Son",John Whitesell,4.4,U,126 min,2011
tt0117102,47475,The Thief of Bagdad,Ludwig Berger,7.4,PG,89 min,1940
tt0118040,2045,When the Game Stands Tall,Thomas Carter,6.6,U,81 min,2014
tt0116483,9614,Catch That Kid,Bart Freundlich,5.2,A,178 min,2004
tt0112579,688,House Arrest,Harry Winer,5.8,R,99 min,1996
tt0110251,11907,Igor,Tony Leondis,5.9,UA,116 min,2008
tt0117110,10874,New York Minute,Dennie Gordon,4.9,A,142 min,2004
tt0112646,89333,Bandslam,Todd Graff,6.3,U,137 min,2009
tt0113276,96357,All About Steve,Phil Traill,4.8,R,160 min,2009
tt0112573,197,Yankee Doodle Dandy,Michael Curtiz,7.6,A,170 min,1942
tt0075314,103,Hoot,Wil Shriner,5.5,U,131 min,2006
tt0113326,33542,The Chipmunk Adventure,Janice Karman,7.2,R,149 min,1987
tt0115645,43566,The Railway Children,Lionel Jeffries,7.3,A,114 min,1970
