8844,Marlon Brando,Animation,28,65000000,en
15602,Christian Bale,Biography,54,120000000,en
31357,Al Pacino,Adventure,51,16000000,en
11862,Henry Fonda,Comedy,57.1,75852,en
949,Elijah Wood,Adventure,57.1,62535345331,en
45325,Liam Neeson,Comedy,57.1,65161,en
9091,Leonardo DiCaprio,Adventure,57.1,35000000,en
710,Brad Pitt,Animation,69,58000000,en
9087,Elijah Wood,Animation,46,62000000,en
12110,Tom Hanks,Animation,57.1,15000000,en
21032,Clint Eastwood,Comedy,48,74000000,en
10858,Elijah Wood,Comedy,57.1,44000000,en
1408,Lilly Wachowski,Comedy,57.1,98000000,en
524,Robert De Niro,Animation,57.1,52000000,en
4584,Mark Hamill,Animation,57.1,16500000,en
5,Jack Nicholson,Comedy,49,4000000,en
9273,Lin-Manuel Miranda,Animation,49,30000000,en
11517,Kang-ho Song,Animation,57.1,60000000,en
8012,Suriya,Family,57.1,30250000,en
1710,Matthew McConaughey,Animation,50,2033300,en
9691,KÃ¡tia Lund,Adventure,57.1,50000000,en
12665,Daveigh Chase,Animation,68,3000000,en
451,Tom Hanks,Adventure,65,3600000,en
16420,Tom Hanks,Animation,57.1,0,en
9263,Roberto Benigni,Adventure,57.1,12000000,en
17015,Morgan Freeman,Animation,85,0,en
902,Jodie Foster,Adventure,57.1,18000000,fr
37557,Mark Hamill,Drama,57.1,0,zh
9909,Tatsuya Nakadai,Comedy,63,0,en
63,ToshirÃ´ Mifune,Animation,57.1,29500000,en
78802,James Stewart,Comedy,57.1,0,fr
9598,Joaquin Phoenix,Adventure,53,30000000,en
47018,Miles Teller,Animation,57.1,0,en
687,Ã‰ric Toledano,Comedy,31,11000000,en
139405,Christian Bale,Action,57.1,0,en
33689,Leonardo DiCaprio,Family,57.1,0,en
9603,Adrien Brody,Animation,57.1,12000000,en
34615,Russell Crowe,Adventure,57.1,0,en
31174,Edward Norton,Comedy,64,0,en
11443,Kevin Spacey,Animation,57.1,10000000,en
35196,Jean Reno,Comedy,57.1,19000000,en
9312,Rob Minkoff,Adventure,43,18000000,en
577,Arnold Schwarzenegger,Adventure,53,20000000,en
11861,Philippe Noiret,Animation,57.1,10000000,en
807,Tsutomu Tatsumi,Drama,57.1,33000000,en
10530,Michael J. Fox,Adventure,34,55000000,en
8391,Henry Fonda,Comedy,57.1,0,en
629,Anthony Perkins,Animation,38,6000000,en
117164,Humphrey Bogart,Biography,59,0,en
11448,Charles Chaplin,Comedy,11,15000000,en
49133,Charles Chaplin,Adventure,57.1,0,it
26441,Zain Al Rafeea,Comedy,57.1,0,en
97406,Erdem Can,Adventure,48,0,en
124057,Pushkar,Adventure,57.1,0,en
9089,RyÃ»nosuke Kamiki,Family,65,0,en
11010,Aamir Khan,Comedy,57.1,0,it
99040,Peter Ramsey,Comedy,59,0,fr
11359,Joe Russo,Animation,69,45000000,en
17182,Joe Russo,Drama,57.1,20000000,en
2054,Adrian Molina,Animation,86,0,en
10607,Jamie Foxx,Animation,57.1,0,en
19760,Christian Bale,Adventure,57.1,0,en
9536,Aamir Khan,Animation,57.1,15000000,en
11525,Amole Gupte,Animation,51,0,en
40628,Ben Burtt,Animation,62,0,en
4482,Ulrich MÃ¼he,Animation,57.1,0,fr
10634,Choi Min-sik,Animation,53,3500000,en
755,Guy Pearce,Animation,57.1,19000000,en
11859,YÃ´ji Matsuda,Drama,57.1,50000000,en
28387,Robert De Niro,Comedy,73,0,en
48750,Harrison Ford,Drama,57.1,0,fr
20927,Jack Nicholson,Animation,49,0,en
36929,Martin Sheen,Animation,57.1,15000000,en
9102,Sigourney Weaver,Comedy,51,20000000,en
124626,Rajesh Khanna,Adventure,36,0,en
27526,ToshirÃ´ Mifune,Drama,57.1,0,en
9623,Peter Sellers,Adventure,57.1,44000000,en
46785,Tyrone Power,Adventure,57.1,0,fa
400,Kirk Douglas,Drama,76,8000000,en
880,James Stewart,Comedy,37,900000,nl
